query_id,source,p_at_10_RAG,r_at_10_RAG,mrr_at_10_RAG,ndcg_at_10_RAG,p_at_10_GraphRAG,r_at_10_GraphRAG,mrr_at_10_GraphRAG,ndcg_at_10_GraphRAG,delta_p_at_10,delta_r_at_10,delta_mrr_at_10,delta_ndcg_at_10,comparacao,p_at_10_Hibrido,r_at_10_Hibrido,mrr_at_10_Hibrido,ndcg_at_10_Hibrido
27,search log,0.3,0.2727272727272727,0.1428571428571428,0.2090493674905263,0.6,0.5454545454545454,1.0,0.5925846332364243,0.3,0.2727272727272727,0.8571428571428572,0.383535265745898,RAG -> GraphRAG,,,,
28,search log,0.2,0.1818181818181818,0.5,0.1806407520095203,0.4,0.3636363636363636,0.5,0.4126171234195185,0.2,0.1818181818181818,0.0,0.23197637140999822,RAG -> GraphRAG,,,,
29,search log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
30,search log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
31,search log,0.2,0.1538461538461538,0.5,0.2527963555042372,0.2,0.1538461538461538,0.25,0.1897644188006705,0.0,0.0,-0.25,-0.06303193670356669,RAG -> GraphRAG,,,,
32,search log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
33,search log,0.3,0.25,0.5,0.3566630836808567,0.3,0.25,1.0,0.4608514610679894,0.0,0.0,0.5,0.10418837738713271,RAG -> GraphRAG,,,,
34,search log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
35,search log,0.3,0.2727272727272727,1.0,0.3836331529183764,0.3,0.2727272727272727,1.0,0.3628869103342175,0.0,0.0,0.0,-0.020746242584158914,RAG -> GraphRAG,,,,
36,search log,0.2,0.2,0.3333333333333333,0.1903291720738826,0.4,0.4,1.0,0.520678483059474,0.2,0.2,0.6666666666666667,0.33034931098559134,RAG -> GraphRAG,,,,
37,search log,0.4,0.2666666666666666,1.0,0.5135299778454189,0.4,0.2666666666666666,1.0,0.5978874945059731,0.0,0.0,0.0,0.08435751666055424,RAG -> GraphRAG,,,,
38,search log,0.1,0.0666666666666666,0.1666666666666666,0.1044285097114402,0.1,0.0666666666666666,0.2,0.1134128215243988,0.0,0.0,0.03333333333333341,0.008984311812958598,RAG -> GraphRAG,,,,
39,search log,0.2,0.1538461538461538,1.0,0.387729263062234,0.2,0.1538461538461538,0.5,0.2292391902624815,0.0,0.0,-0.5,-0.1584900727997525,RAG -> GraphRAG,,,,
40,search log,0.1,0.0833333333333333,0.125,0.1095668669408403,0.1,0.0833333333333333,0.1428571428571428,0.115772916948491,0.0,0.0,0.017857142857142794,0.006206050007650704,RAG -> GraphRAG,,,,
41,search log,0.0,0.0,0.0,0.0,0.1,0.0666666666666666,0.1428571428571428,0.076131668829553,0.1,0.0666666666666666,0.1428571428571428,0.076131668829553,RAG -> GraphRAG,,,,
42,search log,0.0,0.0,0.0,0.0,0.2,0.1333333333333333,0.2,0.213565886210738,0.2,0.1333333333333333,0.2,0.213565886210738,RAG -> GraphRAG,,,,
43,search log,0.8,0.5333333333333333,1.0,0.7941486871061263,0.8,0.5333333333333333,1.0,0.8107695470087684,0.0,0.0,0.0,0.01662085990264206,RAG -> GraphRAG,,,,
44,search log,0.2,0.2,0.5,0.1747075476164752,0.2,0.2,0.1111111111111111,0.0887427444143247,0.0,0.0,-0.3888888888888889,-0.0859648032021505,RAG -> GraphRAG,,,,
45,search log,0.2,0.1428571428571428,1.0,0.3589542101716347,0.2,0.1428571428571428,1.0,0.3589542101716347,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
46,search log,0.2,0.1428571428571428,0.3333333333333333,0.2025527526628187,0.2,0.1428571428571428,0.25,0.174496044105239,0.0,0.0,-0.08333333333333331,-0.02805670855757969,RAG -> GraphRAG,,,,
47,search log,0.3,0.2727272727272727,0.5,0.4327728113994954,0.3,0.2727272727272727,0.5,0.439041046003353,0.0,0.0,0.0,0.006268234603857559,RAG -> GraphRAG,,,,
48,search log,0.5,0.4166666666666667,1.0,0.6538118379824718,0.5,0.4166666666666667,1.0,0.5989230265309271,0.0,0.0,0.0,-0.05488881145154467,RAG -> GraphRAG,,,,
49,search log,0.1,0.0666666666666666,1.0,0.1064483705933263,0.1,0.0666666666666666,0.25,0.0458448178596547,0.0,0.0,-0.75,-0.06060355273367161,RAG -> GraphRAG,,,,
50,search log,0.3,0.2727272727272727,0.5,0.2942108957846409,0.5,0.4545454545454545,0.25,0.3939235523790205,0.2,0.18181818181818177,-0.25,0.09971265659437961,RAG -> GraphRAG,,,,
